restaurant_name,bar_type,price_level,rating_list,address_list
70. Marco Polo Pizzeria,"Pizza, Soups",$,4.0,"469 W Delilah Rd, Pleasantville, NJ 08232-1207"
71. White House Sub Shop,"American, Fast Food",$,4.5,"2301 Arctic Ave, Atlantic City, NJ 08401-4001"
72. Old Homestead,"American, Steakhouse",$$$$,4.0,"1 Borgata Way, Atlantic City, NJ 08401-1946"
73. Izakaya in Borgata Hotel,"Japanese, Sushi",$$$$,4.0,"1 Borgata Way, Atlantic City, NJ 08401-1946"
74. Grille Room,"American, Bar",$$ - $$$,3.5,"401 S New York Rd, Galloway, NJ 08205-9753"
75. Pizza DI Roma,"Italian, Pizza",$,4.0,"954 N Main St, Pleasantville, NJ 08232-1442"
76. Borgata Buffet,"Quick Bites, American",$$ - $$$,4.0,"1 Borgata Way Borgata Hotel Casino & Spa, Atlantic City, NJ 08401-1946"
77. Dock's Oyster House,"American, Seafood",$$$$,4.5,"2405 Atlantic Ave, Atlantic City, NJ 08401-6630"
78. Fred & Ethel's Lantern Light,"American, Bar",$$ - $$$,4.0,"1 N New York Rd, Galloway, NJ 08205-3040"
79. Napoli Pizza Grill,"Italian, Pizza",$,4.0,"319 E Jimmie Leeds Rd, Galloway, NJ 08205-4124"
80. Big Daddy's Diner,"American, Diner",,5.0,"610 W Delilah Rd, Pleasantville, NJ 08232-1212"
81. Dunkin',"Coffee & Tea, American",,3.5,"915 N New Rd, Pleasantville, NJ 08232"
82. Gilchrist Restaurant,American,$,4.5,"804 N Rhode Island Ave at Gardners Basin, Atlantic City, NJ 08401-2905"
83. Pitney Pub,"Bar, Pub",$$ - $$$,4.0,"200 S Pitney Rd, Galloway, NJ 08205-9629"
84. Celina's Mulberry Market & Grille,"American, Grill",$$ - $$$,4.0,"68 W Jimmie Leeds Rd Sunrise Plaza, Galloway, NJ 08205-9451"
85. Tony Beef,"American, Fast Food",$,4.5,"195 S New York Rd, Galloway, NJ 08205-9647"
86. Chart House,"American, Seafood",$$$$,4.5,"Brigantine Blvd. & Huron Ave. Golden Nugget Hotel, Atlantic City, NJ 08401"
87. Cafe 2825,"Italian, Tuscan",$$$$,4.5,"2825 Atlantic Ave, Atlantic City, NJ 08401-6325"
88. Capriccio,Italian,$$$$,4.5,"1133 Boardwalk Resorts Casino Hotel, Atlantic City, NJ 08401-7329"
89. Smithville Bakery & Coffee Shop,"Bakeries, American",$,4.5,"3 N New York Rd Historic Smithville Village, GALLOWAY, Smithville, NJ 08205-3034"
90. Valentina's Trattoria Italiana,"Italian, Pizza",$$ - $$$,4.0,"200 Tilton Rd Kensington Square, Northfield, NJ 08225-1270"
91. Noodles of the World,"Asian, Chinese",$$ - $$$,4.0,"1 Borgata Way, Atlantic City, NJ 08401-1946"
92. Minos Bakery,Bakeries,$$ - $$$,4.0,"106 W Black Horse Pike Suite 1, Pleasantville, NJ 08232-2690"
93. Kelsey & Kim's Southern Cafe,American,$$ - $$$,4.5,"201 Melrose Ave, Atlantic City, NJ 08401-5503"
94. The Nizam's,Indian,$$ - $$$,4.0,"6725 Us-40, Egg Harbor Township, NJ 08234-1835"
95. McCormick & Schmick's Seafood & Steaks,"American, Seafood",$$$$,4.0,"777 Harrah's Blvd, Atlantic City, NJ 08401"
96. Bobby Flay Steak,"American, Steakhouse",$$$$,4.0,"1 Borgata Way, Atlantic City, NJ 08401-1946"
97. Chef Vola's,Italian,$$$$,4.5,"111 S Albion Pl, Atlantic City, NJ 08401-6407"
98. El Bohio Cafe & Restaurant,,,4.5,"605 N Main St, Pleasantville, NJ 08232-1539"
99. Wingcraft Kitchen and Beer Bar,"American, Bar",$$ - $$$,4.5,"2010 Baltic Ave, Atlantic City, NJ 08401-4110"
100. Buddakan,"Chinese, Asian",$$$$,4.5,"1 Atlantic Ocean, Atlantic City, NJ 08401-6689"
101. Burger King,Menu,,3.5,"415 8th Ave, Galloway, NJ 08205"
102. A Touch of Italy,"Steakhouse, Pizza",$$ - $$$,4.0,"6629 Black Horse Pike, Egg Harbor Township, NJ 08234-4506"
103. Dunkin' Donuts,"Coffee & Tea, Fast Food",,3.5,"311 E Jimmie Leeds Rd, Galloway, NJ 08205-4124"
104. Knife & Fork Inn,"American, Seafood",$$$$,4.5,"3600 Atlantic Ave, Atlantic City, NJ 08401-6198"
105. The Spot,American,$$ - $$$,4.0,"331 Tilton Rd, Northfield, NJ 08225-1201"
106. Angelo's Fairmount Tavern,Italian,$$ - $$$,4.0,"2300 Fairmount Ave, Atlantic City, NJ 08401-4006"
107. La Escondita Mexican Restaurant,Mexican,$$ - $$$,4.5,"701 Black Horse Pike, Pleasantville, NJ 08232-2301"
108. EastWind,"Singaporean, Chinese",$$ - $$$,4.5,"1133 Boardwalk Resorts Casino Hotel, Atlantic City, NJ 08401-7329"
109. Broadway Burger Bar,"American, Bar",$$ - $$$,4.5,"2801 Pacific Ave Tropicana Casino Resort, Atlantic City, NJ 08401-6347"
110. Carmine's Italian Restaurant - Atlantic City,Italian,$$ - $$$,4.5,"2801 Pacific Ave Tropicana Casino, Atlantic City, NJ 08401-6347"
111. The Continental,Bar,$$ - $$$,4.5,"1 Atlantic Ocean The Pier Shops Caesars, Atlantic City, NJ 08401-6689"
112. HU Tieu Mien Tay,"Asian, Vietnamese",$,4.0,"700 Black Horse Pike, Pleasantville, NJ 08232-2361"
113. Morton's The Steakhouse,"American, Steakhouse",$$$$,4.5,"2100 Pacific Ave, Atlantic City, NJ 08401-6612"
114. The Metropolitan,"American, Bar",$$ - $$$,4.0,"1 Borgata Way Borgota Hotel Casino & Spa, Atlantic City, NJ 08401-1946"
115. Back Bay Ale House,"American, Bar",$$ - $$$,4.0,"800 N New Hampshire Ave, Atlantic City, NJ 08401-2900"
116. Johnny D's Pizza,"Pizza, Italian",$,3.5,"46 N Main St, Pleasantville, NJ 08232-2763"
117. Ventura's Offshore Cafe,"Italian, Bar",$$ - $$$,4.0,"2015 Shore Rd, Northfield, NJ 08225-2125"
118. Deli On The Square,Deli,,5.0,"756 Black Horse Pike, Pleasantville, NJ 08232-2340"
119. Kelsey's,"Bar, American",$$ - $$$,4.5,"1545 Pacific Ave, Atlantic City, NJ 08401-7009"
120. Asian City Restaurant,Chinese,$$ - $$$,4.5,"748 Black Horse Pike Pleasantville Shopping Center, Pleasantville, NJ 08232-2340"
121. Aversa's Italian Bakery,"Bakeries, Italian",$$ - $$$,4.5,"3101 Atlantic Brigantine Blvd, Brigantine, NJ 08203-1055"
122. The Iron Room,$$ - $$$,,4.5,"131 S Tennessee Ave, Atlantic City, NJ 08401-7111"
123. Cuba Libre Restaurant & Rum Bar,"Caribbean, Latin",$$ - $$$,4.0,"2801 Pacific Ave The Quarter at the Tropicana, Atlantic City, NJ 08401-6347"
124. Wing It,,,4.5,"26 E Jimmie Leeds Rd, Galloway, NJ 08205-9510"
125. Nizam's Mediterranean Cuisine,"Lebanese, Mediterranean",$$ - $$$,5.0,"6666 Black Horse Pike, Egg Harbor Township, NJ 08234-1835"
126. Vincenzo's Ristorante,"Italian, Pizza",$$ - $$$,4.0,"28 S New York Rd, Smithville, NJ 08205-9695"
127. Greens and Grains,"Quick Bites, Fast Food",$$ - $$$,4.5,"80 W Jimmie Leeds Rd, Galloway, NJ 08205-9401"
128. P.F. Chang's,"Chinese, Asian",$$ - $$$,4.0,"2801 Pacific Ave Unit 101 The Quarter at the Tropicana, Atlantic City, NJ 08401-6351"
129. Welcome To The South BBQ,Barbecue,,4.5,"424 S Main St, Pleasantville, NJ 08232-3032"
130. The Palm - Atlantic City,"American, Steakhouse",$$$$,4.0,"2801 Pacific Ave Suite 102, Atlantic City, NJ 08401-6347"
131. Harry's Oyster Bar & Seafood,"American, Bar",$$ - $$$,4.0,"1900 Pacific Ave Ground Floor, Atlantic City, NJ 08401-6714"
132. Bagel Gourmet,"Bakeries, American",$,4.5,"162 S New York Rd Ste A, Galloway, NJ 08205-9608"
133. Irene's Signature Desserts,Dessert,,4.5,"6701 Black Horse Pike, Egg Harbor Township, NJ 08234-3935"
134. Ruth's Chris Steak House,"American, Steakhouse",$$$$,4.5,"2020 Atlantic Ave, Atlantic City, NJ 08401-6734"
135. Clam Shack,Seafood,,4.5,"392 S New Rd, Pleasantville, NJ 08232-3143"
136. Taco Bell,Mexican,$,4.0,"712 Black Horse Pike, Pleasantville, NJ 08232-2361"
137. Chido Burrito,"Mexican, Southwestern",$,4.5,"807 Tilton Rd, Northfield, NJ 08225-1223"
138. Vagabond Kitchen & Tap House,"American, Bar",$$ - $$$,4.0,"672 N Trenton Ave, Atlantic City, NJ 08401-1323"
139. Essl's Dugout,Menu,,4.5,"7001 Black Horse Pike, Pleasantville, NJ 08232-2741"
140. Cafe by Country Kitchen,American,$$ - $$$,4.0,"3000 Boardwalk, Atlantic City, NJ 08401-6251"
141. Breadsticks Cafe & Grill,American,$$ - $$$,4.0,"1133 Boardwalk Resorts Casino Hotel / Dining Level, Atlantic City, NJ 08401-7329"
142. The Exchange,"Quick Bites, Mexican",$,4.5,"80 W Jimmie Leeds Rd, Galloway, NJ 08205-9401"
143. Casa Taco & Tequila Bar,"Mexican, Latin",$$ - $$$,4.0,"2831 Boardwalk The Marketplace, Tropicana Casino and Resort, Atlantic City, NJ 08401-6338"
144. Crown Chicken,,,3.5,"105 S Main St, Pleasantville, NJ 08232-2729"
145. Hong Kong Chinese Restaurant,Chinese,,3.0,"12 Old Tpke, Pleasantville, NJ 08232-2522"
146. Saladworks,Quick Bites,$$ - $$$,4.0,"68 West Jimmie Leeds Road Unit 1B, Galloway, NJ 08205"
147. New Asia Bakery,Bakeries,,4.5,"700 Black Horse Pike, Pleasantville, NJ 08232-2361"
148. Perry's Cafe & Deli,"American, Cafe",$,4.5,"1339 Pacific Ave, Atlantic City, NJ 08401-7204"
149. Burger King,$,,3.5,"601 Black Horse Pike, Pleasantville, NJ 08232"
150. Katinas Kosmos,"Italian, Mexican",$$ - $$$,2.5,"325 E Jimmie Leeds Rd Risley Square, Galloway, NJ 08205-4126"
151. KFC,American,$,3.5,"600 Black Horse Pike, Pleasantville, NJ 08232"
152. Dunkin,"Coffee & Tea, Cafe",,3.5,"774 Black Horse Pike, Pleasantville, NJ 08232"
153. Steve & Cookie's By The Bay,"American, Seafood",$$$$,4.5,"9700 Amherst Ave, Margate City, NJ 08402-1008"
154. Waterfront Buffet,"Quick Bites, American",$$ - $$$,3.5,"777 Harrah's Blvd, Atlantic City, NJ 08401"
155. Grotto Ristorante,Italian,$$ - $$$,4.0,"Huron and Brigantine Blvd Golden Nugget Huron & Brigantine Blvd., Atlantic City, NJ 08401"
156. Jack's Famous Pizza,American,,5.0,"326 S Main St, Pleasantville, NJ 08232-3030"
157. Ri Ra,"Irish, Bar",$$ - $$$,4.0,"2801 Pacific Ave Unit 303 icana Atlantic City, Atlantic City, NJ 08401-6358"
158. Nero's Italian Steakhouse,"Italian, American",$$$$,4.5,"2100 Pacific Ave, Atlantic City, NJ 08401"
159. Angeloni's II Restaurant & Lounge,Italian,$$ - $$$,4.5,"2400 Arctic Ave, Atlantic City, NJ 08401"
160. Coastal Craft Kitchen & Bar,American,$$ - $$$,4.0,"777 Harrah's Blvd Harrah's Resort Atlantic City, Atlantic City, NJ 08401"
161. Chick-fil-A,Menu,,5.0,"6801 Black Horse Pike Suite 600, Egg Harbor Township, NJ 08234"
162. Golden Corral Buffet & Grill,"American, Grill",$,3.5,"6725 Black Horse Pike, Egg Harbor Township, NJ 08234-3904"
163. Borgata Baking Company,"Quick Bites, American",$$ - $$$,4.0,"1 Borgata Way inside the piazza entrance to the Borgata casino, Atlantic City, NJ 08401-1946"
164. Gordon Ramsay Steak,"Italian, Brew Pub",$$$$,4.0,"777 Harrahs Blvd Harrah's Resort, Atlantic City, NJ 08401"
165. Bread and Butter,"Quick Bites, American",$$ - $$$,4.0,"1 Borgata Way Borgata Hotel, Casino, & Spa, Atlantic City, NJ 08401-1946"
166. Purdy's Galloway Grill,"American, Diner",,3.0,"421 Chris Grappling Dr, Galloway, NJ 08205-4485"
167. Christine's Italian Pastry Shoppe,"Bakeries, Italian",$$ - $$$,4.5,"314 Tilton Rd, Northfield, NJ 08225"
168. Starbucks,American,,5.0,"6801 Black Horse Pike, Egg Harbor Township, NJ 08234-4115"
169. Primo Pizza,Pizza,,3.0,"183 S New York Rd, Galloway, NJ 08205-9647"
170. Guy Fieri's Chophouse,"American, Steakhouse",$$$$,4.0,"1900 Pacific Ave, Atlantic City, NJ 08401-6714"
171. Gordon Ramsay Pub & Grill,"American, Bar",$$ - $$$,4.0,"2100 Pacific Ave Caesar's Atlantic City, Atlantic City, NJ 08401-6612"
172. Dickey's Barbecue Pit,Barbecue,,3.5,"6801 Black Horse Pike Suite 305, Egg Harbor Township, NJ 08234-4115"
173. Micchelli's Pizza,Pizza,$$ - $$$,4.5,"3121 Fire Rd, Egg Harbor Township, NJ 08234-9619"
174. Sublime Seafood Company,"American, Seafood",$$ - $$$,4.5,"6825 Tilton Rd, Egg Harbor Township, NJ 08234-4491"
175. Martorano's,Italian,$$$$,4.0,"777 Harrah's Blvd Harrah's Resort, Atlantic City, NJ 08401"
176. Barbera Seafood and Produce,Seafood,$,5.0,"2243 Arctic Ave, Atlantic City, NJ 08401-4150"
177. Denny's,American,$,3.5,"335 Tilton Rd Ste B, Northfield, NJ 08225-1264"
178. Ramen Wakana,Japanese,,3.5,"6708 Black Horse Pike, Egg Harbor Township, NJ 08234-3902"
179. Atlantic City Sub Shops,"American, Deli",$,4.0,"6825 Tilton Rd Ste 3, Egg Harbor Township, NJ 08234-4491"
180. Galloway Diner,"American, Diner",$$ - $$$,4.0,"245 W White Horse Pike, Galloway, NJ 08205"
181. III Brothers,Pizza,,5.0,"6690 Black Horse Pike Ste 12, Egg Harbor Township, NJ 08234-1892"
182. Tilton Inn,"American, Bar",$$ - $$$,3.5,"6823 Tilton Rd, Egg Harbor Township, NJ 08234-4437"
183. La Cucina Ristorante,"Italian, American",$$ - $$$,4.5,"1205 Tilton Rd Suite Suite 12B, Northfield, NJ 08225-1236"
184. Mr Wonton,"Chinese, Asian",,4.5,"6825 Tilton Rd Ste 3, Egg Harbor Township, NJ 08234-4491"
185. Il Verdi,Italian,$$$$,4.5,"2831 Boardwalk Tropicana Casino and Hotel, Atlantic City, NJ 08401"
186. PrimoHoagies,"Quick Bites, Fast Food",$,4.5,"3143 Fire Rd Ste E, Egg Harbor Township, NJ 08234-9640"
187. Costello's Italian Ristorante,"Italian, Pizza",$,4.0,"615 E Moss Mill Rd Ste B5-2, Galloway, NJ 08205-4827"
188. Jade's Filipino Restaurant and Groceries,,,4.0,"6701 Black Horse Pike Cardiff Plaza Shopping Center, Egg Harbor Township, NJ 08234-3935"
189. Gallagher's Steakhouse,"American, Steakhouse",$$$$,4.0,"1133 Boardwalk Resorts Casino Hotel, Atlantic City, NJ 08401-7329"
190. Capri Pizza and Grill,"Italian, Pizza",$,4.0,"900 Tilton Rd, Northfield, NJ 08225-1234"
191. Chickie's & Pete's,"American, Bar",$$ - $$$,4.0,"2831 Boardwalk, Atlantic City, NJ 08401-6338"
192. Sushi Town Japanese Restaurant,"Japanese, Sushi",,4.0,"6814 Tilton Rd Ste 10, Egg Harbor Township, NJ 08234-4490"
193. Johnny Rockets,"American, Diner",$,4.0,"1901 Boardwalk Park Place and Boardwalk, Atlantic City, NJ 08401-6709"
194. The Carriage House,American,$$$$,5.0,"25 S Pitney Rd, Galloway, NJ 08205-9644"
195. Bill's Gyro Souvalki,"Mediterranean, Greek",$,4.5,"1607 Boardwalk, Atlantic City, NJ 08401-6913"
196. Atlantic City Bar & Grill,"American, Bar",$$ - $$$,4.0,"1217 Pacific Ave, Atlantic City, NJ 08401-7334"
197. AC Burger Co.,"American, Bar",$$ - $$$,3.5,"777 Harrah's Blvd, Atlantic City, NJ 08401"
198. Vagabond,Quick Bites,$$ - $$$,3.0,"80 W Jimmie Leeds Rd, Galloway, NJ 08205-9401"
199. J D 's Pub & Grille,"American, Bar",$$ - $$$,4.0,"45 S New York Rd, Smithville, NJ 08205-3820"
200. Best Food in Town,Chinese,$,3.0,"164 S New York Rd, Galloway, NJ 08205-9608"
201. Pho 9 Vietnamese Kitchen,"Asian, Vietnamese",$,4.5,"1333 New Rd Plaza 9, Northfield, NJ 08225-1263"
202. The Irish Pub,"American, Irish",$,4.0,"164 Saint James Pl, Atlantic City, NJ 08401-7106"
203. Buca Di Beppo,Italian,$$ - $$$,4.0,"1900 Pacific Ave 6th Floor at Bally's, Atlantic City, NJ 08401-6714"
204. Miami Breeze Cuisine,American,$$ - $$$,4.0,"331 Tilton Rd Ste 15, Northfield, NJ 08225-1201"
205. Jiang's Chinese Restaurant,"Chinese, Asian",$,4.0,"White Horse Pike, Pomona, NJ 08240"
206. Angeline,Italian,$$$$,3.5,"1 Borgata Way, Atlantic City, NJ 08401-1946"
207. McDonald's,$,,3.0,"6688 Blackhorse Pike, Egg Harbor Township, NJ 08234"
208. Phillips Seafood,"Bar, American",$$ - $$$,4.0,"1 Atlantic Ocean Level 3, Atlantic City, NJ 08401-6689"
209. Oyster Creek Restaurant and Boat Bar,"American, Bar",$$ - $$$,4.0,"41 N Oyster Creek Rd, Leeds Point, NJ 08220"
210. Atlantic City Country Club,"American, Bar",$$ - $$$,4.0,"1 Leo Fraser Dr, Northfield, NJ 08225-2561"
211. Tazza Caffe Delizioso,"Quick Bites, American",$$ - $$$,4.0,"777 Harrahs Blvd Harrah's Resort, Atlantic City, NJ 08401-1911"
212. Bake Works,Bakeries,$$ - $$$,4.5,"1205 Tilton Rd, Linwood, NJ 08225-1236"
213. Golden Nugget Buffet,"Quick Bites, American",$$ - $$$,3.5,"1 Castle Blvd, Atlantic City, NJ 08401-1991"
214. White House Sub Shop,"Quick Bites, American",$,4.5,"1000 Boardwalk Hard Rock Hotel and Casino, 2nd floor, Atlantic City, NJ 08401-7415"
215. Yianni's Cafe,"American, Cafe",$,4.5,"1213 Brigantine Avenue, Brigantine, NJ 08203"
216. McDonald's,"Quick Bites, Fast Food",,2.5,"1045 Black Horse Pike, Pleasantville, NJ 08232"
217. Kwi Noodle House,"Chinese, Asian",$$ - $$$,4.5,"2100 Pacific Ave, Atlantic City, NJ 08401-6612"
218. The Marketplace Eatery,"Italian, American",$$ - $$$,4.0,"1 Borgata Way Borgata Hotel Casino & Spa, Atlantic City, NJ 08401-1946"
219. Los Amigos,"Mexican, Southwestern",$$ - $$$,4.0,"1926 Atlantic Ave, Atlantic City, NJ 08401-6706"
220. Tony Boloney's,"Quick Bites, American",$,4.0,"300 Oriental Ave 2 Blocks North of Revel, Atlantic City, NJ 08401-7707"
221. Guy's Sammich Joint,"Quick Bites, American",$$ - $$$,4.0,"777 Harrahs Blvd Harrahs Casino, Atlantic City, NJ 08401-1911"
222. Maria's Luncheonette,"American, Diner",$,4.0,"2319 Atlantic Ave, Atlantic City, NJ 08401-6618"
223. Burger King,"Quick Bites, American",,1.0,"Mile Marker 41.3 Atlantic Travel Plaza, Atlantic City, NJ 08201"
224. Gallagher's Burger Bar,"American, Bar",$$ - $$$,4.0,"1133 Boardwalk, Atlantic City, NJ 08401-7329"
225. Tomatoes,"American, Sushi",$$ - $$$,4.5,"9300 Amherst Ave, Margate City, NJ 08402-1134"
226. McGettigans 19th hole Tavern,"American, Bar",$$ - $$$,4.0,"Route 9, Galloway, NJ"
227. Naomi's Cafe,"American, Cafe",$$ - $$$,3.5,"801 Tilton Rd, Northfield, NJ 08225-1265"
228. Jo Jo's Italian Grille,"Pizza, Italian",$$ - $$$,4.0,"6106 Black Horse Pike, Egg Harbor Township, NJ 08234-9701"
